province_id,region,province,district_id,district,year,district_meansol,district_pop
24,NE,Sakon Nakhon,0,Akat Amnuai,2014,0.100137558,56834
24,NE,Sakon Nakhon,0,Akat Amnuai,2015,0.127155005,56999
24,NE,Sakon Nakhon,0,Akat Amnuai,2016,0.122138214,57169
24,NE,Sakon Nakhon,0,Akat Amnuai,2017,0.21444102,57320
24,NE,Sakon Nakhon,0,Akat Amnuai,2018,0.238681377,53916
24,NE,Sakon Nakhon,0,Akat Amnuai,2019,0.224758909,54063
24,NE,Sakon Nakhon,0,Akat Amnuai,2020,0.288592621,54198
24,NE,Sakon Nakhon,0,Akat Amnuai,2021,0.357077834,54593
50,WE,Samut Songkhram,1,Amphawa,2014,1.436239449,58069
50,WE,Samut Songkhram,1,Amphawa,2015,1.654438977,58259
50,WE,Samut Songkhram,1,Amphawa,2016,1.78767992,58449
50,WE,Samut Songkhram,1,Amphawa,2017,2.325210516,58631
50,WE,Samut Songkhram,1,Amphawa,2018,3.005310152,58744
50,WE,Samut Songkhram,1,Amphawa,2019,3.183497215,58701
50,WE,Samut Songkhram,1,Amphawa,2020,3.344163257,58845
50,WE,Samut Songkhram,1,Amphawa,2021,3.516894689,59271
31,NE,Yasothon,467,Muang Yasothon,2014,0.743148277,117458
31,NE,Yasothon,467,Muang Yasothon,2015,0.813719968,117870
31,NE,Yasothon,467,Muang Yasothon,2016,0.771032509,118254
31,NE,Yasothon,467,Muang Yasothon,2017,0.938344965,118690
31,NE,Yasothon,467,Muang Yasothon,2018,0.941166084,114823
31,NE,Yasothon,467,Muang Yasothon,2019,0.978941305,115134
31,NE,Yasothon,467,Muang Yasothon,2020,1.065532253,115423
31,NE,Yasothon,467,Muang Yasothon,2021,1.376145382,116264
31,NE,Yasothon,699,Sai Mun,2014,0.131328807,29927
31,NE,Yasothon,699,Sai Mun,2015,0.161741527,30025
31,NE,Yasothon,699,Sai Mun,2016,0.134406329,30128
31,NE,Yasothon,699,Sai Mun,2017,0.241680249,30207
31,NE,Yasothon,699,Sai Mun,2018,0.260913125,28939
31,NE,Yasothon,699,Sai Mun,2019,0.246941907,29022
31,NE,Yasothon,699,Sai Mun,2020,0.324750751,29091
31,NE,Yasothon,699,Sai Mun,2021,0.383481352,29303
63,SO,Krabi,2,Ao Luk,2014,0.237529048,47539
63,SO,Krabi,2,Ao Luk,2015,0.233630508,47707
63,SO,Krabi,2,Ao Luk,2016,0.242780717,47859
63,SO,Krabi,2,Ao Luk,2017,0.416366427,48072
