province_id,province,year,GINIW_province,gdppc
67,Amnat Chareon,2014,0.028416293,32018
67,Amnat Chareon,2015,0.028808158,33389
67,Amnat Chareon,2016,0.032990683,34703
67,Amnat Chareon,2017,0.025361449,36265
67,Amnat Chareon,2018,0.022647107,38833
67,Amnat Chareon,2019,0.022776723,40174
67,Amnat Chareon,2020,0.021297719,40755
67,Amnat Chareon,2021,0.021136016,43248
45,Ang Thong,2014,0.024004927,63484
45,Ang Thong,2015,0.022948308,62673
45,Ang Thong,2016,0.022288455,65490
45,Ang Thong,2017,0.019684682,71857
45,Ang Thong,2018,0.01862279,76088
45,Ang Thong,2019,0.018657409,76341
45,Ang Thong,2020,0.016340625,73607
45,Ang Thong,2021,0.015180251,72228
14,Bangkok,2014,0.014816656,373599
14,Bangkok,2015,0.014613437,386881
14,Bangkok,2016,0.014571207,400278
14,Bangkok,2017,0.014675984,413479
14,Bangkok,2018,0.014910039,430681
14,Bangkok,2019,0.01488985,446455
14,Bangkok,2020,0.013789145,416686
14,Bangkok,2021,0.013634103,416598
39,Bueng Kan,2014,0.019729925,72917
39,Bueng Kan,2015,0.020148778,82094
39,Bueng Kan,2016,0.018194268,85837
39,Bueng Kan,2017,0.013282195,93396
39,Bueng Kan,2018,0.013284444,92622
39,Bueng Kan,2019,0.013558935,96183
39,Bueng Kan,2020,0.011761913,94565
39,Bueng Kan,2021,0.011891494,100578
35,Buri Ram,2014,0.030756885,37736
35,Buri Ram,2015,0.028900912,40071
35,Buri Ram,2016,0.028874354,40829
35,Buri Ram,2017,0.024793271,41818
35,Buri Ram,2018,0.026000772,42441
35,Buri Ram,2019,0.027014915,43152
35,Buri Ram,2020,0.026048707,44683
35,Buri Ram,2021,0.022416646,46754
4,Chachoengsao,2014,0.055504736,322888
4,Chachoengsao,2015,0.052010469,308841
4,Chachoengsao,2016,0.049956832,321846
4,Chachoengsao,2017,0.044808824,312262
4,Chachoengsao,2018,0.042728681,342875
4,Chachoengsao,2019,0.042659115,331080
4,Chachoengsao,2020,0.040850017,285050
4,Chachoengsao,2021,0.038822871,323971
66,Chai Nat,2014,0.030967062,61238
66,Chai Nat,2015,0.029913237,55585
66,Chai Nat,2016,0.030712515,56221
66,Chai Nat,2017,0.027482754,63929
66,Chai Nat,2018,0.028694952,69395
66,Chai Nat,2019,0.029705416,71014
66,Chai Nat,2020,0.028218463,67828
66,Chai Nat,2021,0.026094845,72370
9,Chaiyaphum,2014,0.029540487,36040
9,Chaiyaphum,2015,0.031949233,37087
9,Chaiyaphum,2016,0.032497637,39531
9,Chaiyaphum,2017,0.029320098,40398
9,Chaiyaphum,2018,0.029400788,42916
9,Chaiyaphum,2019,0.029220106,41576
9,Chaiyaphum,2020,0.029169165,41781
9,Chaiyaphum,2021,0.027234264,42974
71,Chanthaburi,2014,0.059933789,104292
71,Chanthaburi,2015,0.057071298,101422
71,Chanthaburi,2016,0.053889275,95312
71,Chanthaburi,2017,0.049479119,109884
71,Chanthaburi,2018,0.047952957,95421
71,Chanthaburi,2019,0.045990672,100232
71,Chanthaburi,2020,0.04378134,105018
71,Chanthaburi,2021,0.043183576,103087
65,Chiang Mai,2014,0.085154012,69873
65,Chiang Mai,2015,0.083443575,71636
65,Chiang Mai,2016,0.084923156,75741
65,Chiang Mai,2017,0.079629727,78560
