TABLE_DESC_ENG,UNIT1E,NOTE1E,SOURCE_ENG1,Year,Quarter,Region,Province,Education,SORT_ID,Education Detail,Sex,?????
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2044461.44
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,366969.77
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 1,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,106805.9
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 2,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2092110.74
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 2,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,393731.28
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 2,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,105185.85
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 3,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2147735.6
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 3,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,370049.11
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 3,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,102214.04
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2014,Quarter 4,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2190232.5
