id,Province,Year,Student (persons),Student (thousands)
67,Amnat Chareon,2014,"65,927",65.927
67,Amnat Chareon,2015,"72,167",72.167
67,Amnat Chareon,2016,"87,048",87.048
67,Amnat Chareon,2017,"90,919",90.919
67,Amnat Chareon,2018,"86,476",86.476
67,Amnat Chareon,2019,"86,357",86.357
67,Amnat Chareon,2020,"90,587",90.587
67,Amnat Chareon,2021,"97,386",97.386
45,Ang Thong,2014,"101,556",101.556
45,Ang Thong,2015,"113,734",113.734
45,Ang Thong,2016,"125,129",125.129
45,Ang Thong,2017,"126,788",126.788
45,Ang Thong,2018,"137,313",137.313
45,Ang Thong,2019,"142,725",142.725
45,Ang Thong,2020,"157,741",157.741
45,Ang Thong,2021,"152,104",152.104
14,Bangkok,2014,"10,369,018",10369.018
14,Bangkok,2015,"10,650,972",10650.972
14,Bangkok,2016,"10,915,311",10915.311
14,Bangkok,2017,"10,956,241",10956.241
14,Bangkok,2018,"10,917,909",10917.909
14,Bangkok,2019,"10,905,784",10905.784
14,Bangkok,2020,"11,537,682",11537.682
14,Bangkok,2021,"10,688,269",10688.269
39,Bueng Kan,2014,"84,124",84.124
39,Bueng Kan,2015,"74,275",74.275
39,Bueng Kan,2016,"73,052",73.052
39,Bueng Kan,2017,"80,437",80.437
39,Bueng Kan,2018,"77,212",77.212
39,Bueng Kan,2019,"78,598",78.598
39,Bueng Kan,2020,"83,412",83.412
39,Bueng Kan,2021,"89,090",89.09
35,Buri Ram,2014,"291,547",291.547
35,Buri Ram,2015,"317,114",317.114
35,Buri Ram,2016,"337,070",337.07
35,Buri Ram,2017,"322,107",322.107
35,Buri Ram,2018,"322,644",322.644
35,Buri Ram,2019,"337,280",337.28
35,Buri Ram,2020,"423,680",423.68
35,Buri Ram,2021,"403,225",403.225
4,Chachoengsao,2014,"323,083",323.083
4,Chachoengsao,2015,"356,565",356.565
4,Chachoengsao,2016,"356,475",356.475
4,Chachoengsao,2017,"334,509",334.509
4,Chachoengsao,2018,"365,100",365.1
4,Chachoengsao,2019,"443,579",443.579
4,Chachoengsao,2020,"443,245",443.245
4,Chachoengsao,2021,"424,846",424.846
66,Chai Nat,2014,"135,563",135.563
66,Chai Nat,2015,"138,169",138.169
66,Chai Nat,2016,"119,849",119.849
66,Chai Nat,2017,"119,413",119.413
66,Chai Nat,2018,"141,831",141.831
66,Chai Nat,2019,"165,292",165.292
66,Chai Nat,2020,"167,116",167.116
66,Chai Nat,2021,"164,252",164.252
9,Chaiyaphum,2014,"269,603",269.603
9,Chaiyaphum,2015,"275,051",275.051
9,Chaiyaphum,2016,"307,376",307.376
9,Chaiyaphum,2017,"267,530",267.53
9,Chaiyaphum,2018,"255,353",255.353
9,Chaiyaphum,2019,"303,172",303.172
9,Chaiyaphum,2020,"284,527",284.527
9,Chaiyaphum,2021,"323,416",323.416
71,Chanthaburi,2014,"205,406",205.406
71,Chanthaburi,2015,"210,338",210.338
71,Chanthaburi,2016,"244,682",244.682
71,Chanthaburi,2017,"278,980",278.98
71,Chanthaburi,2018,"285,188",285.188
71,Chanthaburi,2019,"283,443",283.443
71,Chanthaburi,2020,"284,317",284.317
71,Chanthaburi,2021,"290,766",290.766
65,Chiang Mai,2014,"1,053,680",1053.68
65,Chiang Mai,2015,"1,091,822",1091.822
65,Chiang Mai,2016,"991,174",991.174
65,Chiang Mai,2017,"990,000",990
65,Chiang Mai,2018,"990,329",990.329
65,Chiang Mai,2019,"1,013,557",1013.557
65,Chiang Mai,2020,"1,157,610",1157.61
65,Chiang Mai,2021,"1,232,495",1232.495
25,Chiang Rai,2014,"321,385",321.385
25,Chiang Rai,2015,"349,289",349.289
25,Chiang Rai,2016,"345,565",345.565
25,Chiang Rai,2017,"396,733",396.733
25,Chiang Rai,2018,"429,109",429.109
25,Chiang Rai,2019,"405,843",405.843
25,Chiang Rai,2020,"429,281",429.281
25,Chiang Rai,2021,"378,787",378.787
64,Chon Buri,2014,"1,232,014",1232.014
64,Chon Buri,2015,"1,212,203",1212.203
64,Chon Buri,2016,"1,079,921",1079.921
64,Chon Buri,2017,"1,105,502",1105.502
64,Chon Buri,2018,"1,169,109",1169.109
64,Chon Buri,2019,"1,182,861",1182.861
64,Chon Buri,2020,"1,330,086",1330.086
64,Chon Buri,2021,"1,365,147",1365.147
19,Chumphon,2014,"173,609",173.609
19,Chumphon,2015,"189,300",189.3
19,Chumphon,2016,"225,859",225.859
19,Chumphon,2017,"247,027",247.027
19,Chumphon,2018,"242,901",242.901
19,Chumphon,2019,"224,941",224.941
19,Chumphon,2020,"235,347",235.347
19,Chumphon,2021,"292,743",292.743
20,Kalasin,2014,"193,311",193.311
20,Kalasin,2015,"225,096",225.096
20,Kalasin,2016,"249,754",249.754
