province_id,province,year,total_knowledge_service
67,Amnat Chareon,1995,323.29275
67,Amnat Chareon,1996,361.827933
67,Amnat Chareon,1997,352.548397
67,Amnat Chareon,1998,318.490423
67,Amnat Chareon,1999,270.808495
67,Amnat Chareon,2000,274.609112
67,Amnat Chareon,2001,293.222746
67,Amnat Chareon,2002,321.863411
67,Amnat Chareon,2003,375.39581
67,Amnat Chareon,2004,451.323583
67,Amnat Chareon,2005,649.067805
67,Amnat Chareon,2006,891.877356
67,Amnat Chareon,2007,912.129381
67,Amnat Chareon,2008,679.28109
67,Amnat Chareon,2009,735.525849
67,Amnat Chareon,2010,828.183483
67,Amnat Chareon,2011,859.140459
67,Amnat Chareon,2012,962.008375
67,Amnat Chareon,2013,1102.492074
67,Amnat Chareon,2014,1226.607422
67,Amnat Chareon,2015,1357.300044
67,Amnat Chareon,2016,1520.964917
67,Amnat Chareon,2017,1635.805274
67,Amnat Chareon,2018,1761.822252
67,Amnat Chareon,2019,1795.89019
67,Amnat Chareon,2020,1784.442691
67,Amnat Chareon,2021,2112.732055
45,Ang Thong,1995,1321.265611
45,Ang Thong,1996,947.07474
45,Ang Thong,1997,866.886106
45,Ang Thong,1998,829.826041
45,Ang Thong,1999,661.292124
45,Ang Thong,2000,638.125879
45,Ang Thong,2001,700.382771
45,Ang Thong,2002,742.81307
45,Ang Thong,2003,804.896007
45,Ang Thong,2004,864.711879
45,Ang Thong,2005,975.286076
45,Ang Thong,2006,1066.479381
45,Ang Thong,2007,1091.637238
45,Ang Thong,2008,1009.263368
45,Ang Thong,2009,1075.209758
45,Ang Thong,2010,1064.896623
45,Ang Thong,2011,1083.952217
45,Ang Thong,2012,1233.894693
45,Ang Thong,2013,1251.314313
45,Ang Thong,2014,1358.434777
45,Ang Thong,2015,1503.321713
45,Ang Thong,2016,1716.242953
45,Ang Thong,2017,1793.202444
45,Ang Thong,2018,1917.610059
45,Ang Thong,2019,1908.968937
45,Ang Thong,2020,1955.467248
45,Ang Thong,2021,1928.94843
14,Bangkok,1995,446994.8862
14,Bangkok,1996,449713.6783
14,Bangkok,1997,346951.1007
14,Bangkok,1998,220408.8992
14,Bangkok,1999,217206.7051
14,Bangkok,2000,262069.1632
14,Bangkok,2001,304569.4932
14,Bangkok,2002,350371.1283
14,Bangkok,2003,393185.9444
14,Bangkok,2004,443567.9038
14,Bangkok,2005,477794.7993
14,Bangkok,2006,505822.4461
14,Bangkok,2007,515875.8497
14,Bangkok,2008,531799.1538
14,Bangkok,2009,548111.1704
14,Bangkok,2010,572366.785
14,Bangkok,2011,617388.1302
14,Bangkok,2012,697005.3853
14,Bangkok,2013,768425.3917
14,Bangkok,2014,800489.1224
14,Bangkok,2015,864665.5211
14,Bangkok,2016,901298.4399
14,Bangkok,2017,942427.8599
14,Bangkok,2018,989427.813
14,Bangkok,2019,1043348.448
14,Bangkok,2020,1064121.451
14,Bangkok,2021,1128729.93
39,Bueng Kan,1995,0
39,Bueng Kan,1996,0
39,Bueng Kan,1997,0
39,Bueng Kan,1998,0
39,Bueng Kan,1999,0
39,Bueng Kan,2000,0
39,Bueng Kan,2001,0
39,Bueng Kan,2002,0
39,Bueng Kan,2003,0
39,Bueng Kan,2004,0
39,Bueng Kan,2005,0
39,Bueng Kan,2006,0
39,Bueng Kan,2007,0
39,Bueng Kan,2008,0
39,Bueng Kan,2009,0
39,Bueng Kan,2010,0
39,Bueng Kan,2011,293.062724
39,Bueng Kan,2012,498.429443
39,Bueng Kan,2013,824.140149
39,Bueng Kan,2014,883.856249
39,Bueng Kan,2015,1001.035408
39,Bueng Kan,2016,1073.541115
39,Bueng Kan,2017,1199.489489
39,Bueng Kan,2018,1353.175874
39,Bueng Kan,2019,1371.276244
39,Bueng Kan,2020,1388.671901
39,Bueng Kan,2021,1427.05471
35,Buri Ram,1995,1561.282553
35,Buri Ram,1996,1681.91024
35,Buri Ram,1997,1625.790555
35,Buri Ram,1998,1553.383116
35,Buri Ram,1999,1346.579069
35,Buri Ram,2000,1364.830672
35,Buri Ram,2001,1504.997449
35,Buri Ram,2002,1626.320691
35,Buri Ram,2003,1696.164837
35,Buri Ram,2004,1879.33491
35,Buri Ram,2005,2146.727599
35,Buri Ram,2006,2299.759201
35,Buri Ram,2007,2491.87685
35,Buri Ram,2008,2551.332198
35,Buri Ram,2009,2711.415913
35,Buri Ram,2010,2877.398392
35,Buri Ram,2011,2974.402583
35,Buri Ram,2012,3402.477992
35,Buri Ram,2013,3798.494453
35,Buri Ram,2014,4186.585025
35,Buri Ram,2015,4614.668485
35,Buri Ram,2016,4993.387525
35,Buri Ram,2017,5337.558625
35,Buri Ram,2018,5746.008482
35,Buri Ram,2019,5889.583985
35,Buri Ram,2020,6037.504363
35,Buri Ram,2021,6114.409918
4,Chachoengsao,1995,2899.487277
4,Chachoengsao,1996,3441.666533
4,Chachoengsao,1997,3154.363695
4,Chachoengsao,1998,2723.101615
4,Chachoengsao,1999,2069.812187
4,Chachoengsao,2000,2149.737389
4,Chachoengsao,2001,2327.638994
4,Chachoengsao,2002,2604.010032
4,Chachoengsao,2003,2889.796232
4,Chachoengsao,2004,3316.922555
4,Chachoengsao,2005,3742.960836
4,Chachoengsao,2006,3989.566409
4,Chachoengsao,2007,4202.368188
4,Chachoengsao,2008,4210.68703
4,Chachoengsao,2009,4292.745751
4,Chachoengsao,2010,4329.556106
4,Chachoengsao,2011,4639.185518
4,Chachoengsao,2012,5363.030497
4,Chachoengsao,2013,5524.627573
4,Chachoengsao,2014,5828.678713
4,Chachoengsao,2015,6407.066493
4,Chachoengsao,2016,7028.268264
4,Chachoengsao,2017,7130.206462
4,Chachoengsao,2018,7466.887155
4,Chachoengsao,2019,8239.174774
4,Chachoengsao,2020,8130.559179
4,Chachoengsao,2021,8220.975564
66,Chai Nat,1995,1452.093596
66,Chai Nat,1996,895.095605
66,Chai Nat,1997,825.531529
66,Chai Nat,1998,792.553533
66,Chai Nat,1999,656.441849
66,Chai Nat,2000,634.984942
66,Chai Nat,2001,710.697836
66,Chai Nat,2002,776.583255
66,Chai Nat,2003,839.707198
66,Chai Nat,2004,893.439648
66,Chai Nat,2005,1044.49084
66,Chai Nat,2006,1163.230811
66,Chai Nat,2007,1077.163572
66,Chai Nat,2008,1068.520338
66,Chai Nat,2009,1094.792095
66,Chai Nat,2010,1123.11093
66,Chai Nat,2011,1190.496193
66,Chai Nat,2012,1376.552639
66,Chai Nat,2013,1416.229787
66,Chai Nat,2014,1524.908432
66,Chai Nat,2015,1658.962314
66,Chai Nat,2016,1783.304957
66,Chai Nat,2017,1893.502216
66,Chai Nat,2018,1970.337184
66,Chai Nat,2019,1989.032382
66,Chai Nat,2020,2038.149605
66,Chai Nat,2021,1988.42916
9,Chaiyaphum,1995,1162.130501
9,Chaiyaphum,1996,1306.250813
9,Chaiyaphum,1997,1237.877729
9,Chaiyaphum,1998,1104.823654
9,Chaiyaphum,1999,1089.404842
9,Chaiyaphum,2000,1142.795447
9,Chaiyaphum,2001,1262.892027
9,Chaiyaphum,2002,1342.736601
9,Chaiyaphum,2003,1479.841574
9,Chaiyaphum,2004,1604.674512
9,Chaiyaphum,2005,1798.32679
9,Chaiyaphum,2006,1956.865645
9,Chaiyaphum,2007,2290.016617
9,Chaiyaphum,2008,2520.422507
9,Chaiyaphum,2009,2842.06406
9,Chaiyaphum,2010,2804.105762
9,Chaiyaphum,2011,2575.118176
9,Chaiyaphum,2012,2900.611413
9,Chaiyaphum,2013,3022.232504
9,Chaiyaphum,2014,3468.170446
9,Chaiyaphum,2015,4014.207078
9,Chaiyaphum,2016,4452.910297
9,Chaiyaphum,2017,4434.288039
9,Chaiyaphum,2018,4735.87637
9,Chaiyaphum,2019,5039.793182
9,Chaiyaphum,2020,4941.045105
9,Chaiyaphum,2021,5151.473956
71,Chanthaburi,1995,2373.9357
