asdf_id,landscan_global_population.2021.sum,landscan_global_population.2020.sum,landscan_global_population.2019.sum,landscan_global_population.2018.sum,landscan_global_population.2017.sum,landscan_global_population.2016.sum,landscan_global_population.2015.sum,landscan_global_population.2014.sum,Level,gqid,shapeGroup,shapeID,shapeName,shapeType
0,54593.36999,54198.20999,54062.72999,53916.21999,57319.87999,57169.12999,56999.34999,56834.12999,ADM2,0,THA,THA-ADM2-46861878B77456438,Akat Amnuai,ADM2
1,59270.96012,58844.86012,58700.80012,58744.11012,58631.05012,58448.72012,58259.28012,58068.61012,ADM2,1,THA,THA-ADM2-46861878B86341097,Amphawa,ADM2
2,49650.20999,49287.53999,49153.84999,48897.45999,48071.91999,47859.30999,47707.08999,47539.44999,ADM2,2,THA,THA-ADM2-46861878B30830720,Ao Luk,ADM2
3,108596.4,107687.94,107538.08,107612.9,96288.5601,96618.1501,95470.02008,95048.94008,ADM2,3,THA,THA-ADM2-46861878B38226107,Aranyaprathet,ADM2
4,60709.37003,60272.20003,60113.72003,59944.78003,62784.79003,62605.03003,62400.71003,62184.00003,ADM2,4,THA,THA-ADM2-46861878B50974106,At Samat,ADM2
5,45911.76002,45538.98002,45428.00002,45300.14002,44991.32002,44852.03002,44705.73002,44551.70002,ADM2,5,THA,THA-ADM2-46861878B31604779,Bacho,ADM2
6,47700.11999,47344.94999,47231.93999,47107.10999,48971.19999,48794.53999,48638.39999,48492.75999,ADM2,6,THA,THA-ADM2-46861878B64949414,Bamnet Narong,ADM2
7,153441.29,152332.83,151981.18,151612.96,142837.47,142586.38,142117.46,141651.32,ADM2,7,THA,THA-ADM2-46861878B1348916,Ban Bung,ADM2
8,85766.61012,85144.03012,84965.61012,84804.38013,78331.31012,77717.71014,77464.55014,77231.02014,ADM2,8,THA,THA-ADM2-46861878B2990351,Ban Chang,ADM2
9,18499.18003,18362.64003,18311.70003,18264.87003,20808.49003,20859.33003,20842.49003,23822.37004,ADM2,9,THA,THA-ADM2-46861878B30003086,Ban Dan,ADM2
10,45574.43002,45248.46002,45141.76002,45039.69002,47167.79002,47088.19002,46948.11002,46744.80002,ADM2,10,THA,THA-ADM2-46861878B10317958,Ban Dan Lan Hoi,ADM2
11,100011.5601,99279.06009,99036.75009,98765.28009,105279.7601,104956.6501,104608.3901,104173.5401,ADM2,11,THA,THA-ADM2-46861878B80174851,Ban Dung,ADM2
12,51010.42996,50640.61996,50746.01999,50608.48999,52580.57999,52426.52999,52255.52999,52076.36999,ADM2,12,THA,THA-ADM2-46861878B66219309,Ban Fang,ADM2
13,25573.83,25375.92,25448.88,25378.71,28748.21,28652.32,28560.99,28470.54,ADM2,13,THA,THA-ADM2-46861878B89938454,Ban Haet,ADM2
14,45585.17998,45254.61998,45142.90998,45024.24998,46808.47997,46732.96997,46582.76997,46859.08997,ADM2,14,THA,THA-ADM2-46861878B601664,Ban Hong,ADM2
15,14981.76,14885.3,14857.82,14778.44,20154.53,20092.43,20034.44,19963.91,ADM2,15,THA,THA-ADM2-46861878B71615132,Ban Kha,ADM2
16,104836.8702,104080.9302,103887.3802,103613.7802,94631.56014,95773.25015,95471.58015,95124.63014,ADM2,16,THA,THA-ADM2-46861878B93758212,Ban Khai,ADM2
