id,shapeISO,region,province,year,total_sol,mean_sol,gpp(millions),gdp,"population(1,000 persons)",pop,gdppc
14,TH-10,BKK&VIC,Bangkok,2014,141994.3085,18.7773,3211833,3210000000000,8597,8597000,373599
14,TH-10,BKK&VIC,Bangkok,2015,149370.1282,19.7526,3356196,3360000000000,8675,8675000,386881
14,TH-10,BKK&VIC,Bangkok,2016,155677.251,20.5867,3503634,3500000000000,8753,8753000,400278
14,TH-10,BKK&VIC,Bangkok,2017,160395.5232,21.2106,3651844,3650000000000,8832,8832000,413479
14,TH-10,BKK&VIC,Bangkok,2018,167180.3424,22.1079,3838230,3840000000000,8912,8912000,430681
14,TH-10,BKK&VIC,Bangkok,2019,170700.0275,22.5733,3999343,4000000000000,8958,8958000,446455
14,TH-10,BKK&VIC,Bangkok,2020,170383.3315,22.5314,3749759,3750000000000,8999,8999000,416686
14,TH-10,BKK&VIC,Bangkok,2021,178175.7197,23.5619,3763549,3760000000000,9034,9034000,416598
27,TH-73,BKK&VIC,Nakhon Pathom,2014,35279.9546,3.5053,198720,199000000000,1056,1056000,188182
27,TH-73,BKK&VIC,Nakhon Pathom,2015,37759.3287,3.7516,210975,211000000000,1084,1084000,194626
27,TH-73,BKK&VIC,Nakhon Pathom,2016,39150.0018,3.8898,217834,218000000000,1110,1110000,196247
27,TH-73,BKK&VIC,Nakhon Pathom,2017,42484.6796,4.2211,224312,224000000000,1172,1172000,191392
27,TH-73,BKK&VIC,Nakhon Pathom,2018,43893.7517,4.3611,232815,233000000000,1186,1186000,196303
27,TH-73,BKK&VIC,Nakhon Pathom,2019,45530.9635,4.5238,235750,236000000000,1200,1200000,196458
27,TH-73,BKK&VIC,Nakhon Pathom,2020,45799.5281,4.5505,229706,230000000000,1214,1214000,189214
27,TH-73,BKK&VIC,Nakhon Pathom,2021,48714.8709,4.8402,237317,237000000000,1229,1229000,193098
38,TH-12,BKK&VIC,Nonthaburi,2014,31957.0523,10.3809,190508,191000000000,1526,1526000,124841
38,TH-12,BKK&VIC,Nonthaburi,2015,35063.5161,11.39,202227,202000000000,1574,1574000,128480
38,TH-12,BKK&VIC,Nonthaburi,2016,35991.1965,11.6914,210561,211000000000,1621,1621000,129896
38,TH-12,BKK&VIC,Nonthaburi,2017,37085.9128,12.047,227811,228000000000,1693,1693000,134561
38,TH-12,BKK&VIC,Nonthaburi,2018,38448.3951,12.4896,231039,231000000000,1722,1722000,134169
38,TH-12,BKK&VIC,Nonthaburi,2019,39776.843,12.9211,245207,245000000000,1752,1752000,139958
38,TH-12,BKK&VIC,Nonthaburi,2020,40549.5003,13.1721,244091,244000000000,1781,1781000,137053
38,TH-12,BKK&VIC,Nonthaburi,2021,42519.8942,13.8121,244519,245000000000,1810,1810000,135093
58,TH-13,BKK&VIC,Pathum Thani,2014,47738.1162,6.5437,244092,244000000000,1514,1514000,161223
58,TH-13,BKK&VIC,Pathum Thani,2015,50469.4643,6.9181,252514,253000000000,1565,1565000,161351
58,TH-13,BKK&VIC,Pathum Thani,2016,51028.7902,6.9948,254140,254000000000,1618,1618000,157070
58,TH-13,BKK&VIC,Pathum Thani,2017,54732.0995,7.5024,280179,280000000000,1672,1672000,167571
58,TH-13,BKK&VIC,Pathum Thani,2018,57479.7786,7.8791,291468,291000000000,1729,1729000,168576
58,TH-13,BKK&VIC,Pathum Thani,2019,61182.7105,8.3866,312627,313000000000,1758,1758000,177831
58,TH-13,BKK&VIC,Pathum Thani,2020,60924.0057,8.3512,297689,298000000000,1786,1786000,166679
58,TH-13,BKK&VIC,Pathum Thani,2021,65183.5901,8.9351,295322,295000000000,1814,1814000,162802
69,TH-11,BKK&VIC,Samut Prakan,2014,58651.1714,13.032,537007,537000000000,1990,1990000,269853
