id,region,province,district,year,district_meansol
24,NE,Sakon Nakhon,Akat Amnuai,2014,0.100137558
24,NE,Sakon Nakhon,Akat Amnuai,2015,0.127155005
24,NE,Sakon Nakhon,Akat Amnuai,2016,0.122138214
24,NE,Sakon Nakhon,Akat Amnuai,2017,0.21444102
24,NE,Sakon Nakhon,Akat Amnuai,2018,0.238681377
24,NE,Sakon Nakhon,Akat Amnuai,2019,0.224758909
24,NE,Sakon Nakhon,Akat Amnuai,2020,0.288592621
24,NE,Sakon Nakhon,Akat Amnuai,2021,0.357077834
50,WE,Samut Songkhram,Amphawa,2014,1.436239449
50,WE,Samut Songkhram,Amphawa,2015,1.654438977
50,WE,Samut Songkhram,Amphawa,2016,1.78767992
50,WE,Samut Songkhram,Amphawa,2017,2.325210516
50,WE,Samut Songkhram,Amphawa,2018,3.005310152
50,WE,Samut Songkhram,Amphawa,2019,3.183497215
50,WE,Samut Songkhram,Amphawa,2020,3.344163257
50,WE,Samut Songkhram,Amphawa,2021,3.516894689
31,NE,Yasothon,Amphoe Muang Yasothon,2014,0.743148277
31,NE,Yasothon,Amphoe Muang Yasothon,2015,0.813719968
31,NE,Yasothon,Amphoe Muang Yasothon,2016,0.771032509
31,NE,Yasothon,Amphoe Muang Yasothon,2017,0.938344965
31,NE,Yasothon,Amphoe Muang Yasothon,2018,0.941166084
31,NE,Yasothon,Amphoe Muang Yasothon,2019,0.978941305
31,NE,Yasothon,Amphoe Muang Yasothon,2020,1.065532253
31,NE,Yasothon,Amphoe Muang Yasothon,2021,1.376145382
31,NE,Yasothon,Amphoe Sai Mun,2014,0.131328807
31,NE,Yasothon,Amphoe Sai Mun,2015,0.161741527
31,NE,Yasothon,Amphoe Sai Mun,2016,0.134406329
31,NE,Yasothon,Amphoe Sai Mun,2017,0.241680249
31,NE,Yasothon,Amphoe Sai Mun,2018,0.260913125
31,NE,Yasothon,Amphoe Sai Mun,2019,0.246941907
31,NE,Yasothon,Amphoe Sai Mun,2020,0.324750751
31,NE,Yasothon,Amphoe Sai Mun,2021,0.383481352
63,SO,Krabi,Ao Luk,2014,0.237529048
63,SO,Krabi,Ao Luk,2015,0.233630508
63,SO,Krabi,Ao Luk,2016,0.242780717
63,SO,Krabi,Ao Luk,2017,0.416366427
63,SO,Krabi,Ao Luk,2018,0.491410384
63,SO,Krabi,Ao Luk,2019,0.544373617
63,SO,Krabi,Ao Luk,2020,0.644472532
63,SO,Krabi,Ao Luk,2021,0.705468268
75,EA,Sa Kaew,Aranyaprathet,2014,0.441882716
75,EA,Sa Kaew,Aranyaprathet,2015,0.529075158
75,EA,Sa Kaew,Aranyaprathet,2016,0.610318651
75,EA,Sa Kaew,Aranyaprathet,2017,0.781684615
75,EA,Sa Kaew,Aranyaprathet,2018,1.122054435
75,EA,Sa Kaew,Aranyaprathet,2019,1.287144921
75,EA,Sa Kaew,Aranyaprathet,2020,1.085981125
75,EA,Sa Kaew,Aranyaprathet,2021,1.343906274
0,NE,Roi Et,At Samat,2014,0.163665374
0,NE,Roi Et,At Samat,2015,0.203893155
0,NE,Roi Et,At Samat,2016,0.196835842
0,NE,Roi Et,At Samat,2017,0.355429661
0,NE,Roi Et,At Samat,2018,0.36259005
0,NE,Roi Et,At Samat,2019,0.354648372
0,NE,Roi Et,At Samat,2020,0.433067726
0,NE,Roi Et,At Samat,2021,0.494945255
40,SO,Narathiwat,Bacho,2014,0.522651088
40,SO,Narathiwat,Bacho,2015,0.600094834
40,SO,Narathiwat,Bacho,2016,0.592080007
40,SO,Narathiwat,Bacho,2017,0.715023979
40,SO,Narathiwat,Bacho,2018,0.837849645
40,SO,Narathiwat,Bacho,2019,0.809575172
40,SO,Narathiwat,Bacho,2020,0.934231479
40,SO,Narathiwat,Bacho,2021,1.170413165
9,NE,Chaiyaphum,Bamnet Narong,2014,0.353978484
9,NE,Chaiyaphum,Bamnet Narong,2015,0.407525643
9,NE,Chaiyaphum,Bamnet Narong,2016,0.389487407
9,NE,Chaiyaphum,Bamnet Narong,2017,0.488612505
9,NE,Chaiyaphum,Bamnet Narong,2018,0.485260227
9,NE,Chaiyaphum,Bamnet Narong,2019,0.459502451
9,NE,Chaiyaphum,Bamnet Narong,2020,0.52333162
9,NE,Chaiyaphum,Bamnet Narong,2021,0.595250848
64,EA,Chon Buri,Ban Bung,2014,2.111910869
64,EA,Chon Buri,Ban Bung,2015,2.24565256
64,EA,Chon Buri,Ban Bung,2016,2.350942792
64,EA,Chon Buri,Ban Bung,2017,2.62036385
64,EA,Chon Buri,Ban Bung,2018,2.688433135
64,EA,Chon Buri,Ban Bung,2019,2.831214657
64,EA,Chon Buri,Ban Bung,2020,3.074266539
64,EA,Chon Buri,Ban Bung,2021,3.533882484
51,EA,Rayong,Ban Chang,2014,7.308202641
51,EA,Rayong,Ban Chang,2015,7.160470837
51,EA,Rayong,Ban Chang,2016,7.833407981
51,EA,Rayong,Ban Chang,2017,8.900230295
51,EA,Rayong,Ban Chang,2018,9.592466895
51,EA,Rayong,Ban Chang,2019,10.846004
51,EA,Rayong,Ban Chang,2020,11.77371135
51,EA,Rayong,Ban Chang,2021,13.31987726
7,NO,Sukhothai,Ban Dan Lan Hoi,2014,0.075761208
7,NO,Sukhothai,Ban Dan Lan Hoi,2015,0.099562022
7,NO,Sukhothai,Ban Dan Lan Hoi,2016,0.086594484
7,NO,Sukhothai,Ban Dan Lan Hoi,2017,0.118973924
7,NO,Sukhothai,Ban Dan Lan Hoi,2018,0.123530228
7,NO,Sukhothai,Ban Dan Lan Hoi,2019,0.134056494
7,NO,Sukhothai,Ban Dan Lan Hoi,2020,0.148439496
7,NO,Sukhothai,Ban Dan Lan Hoi,2021,0.159320482
23,NE,Udon Thani,Ban Dung,2014,0.133432181
23,NE,Udon Thani,Ban Dung,2015,0.143199735
23,NE,Udon Thani,Ban Dung,2016,0.145211784
23,NE,Udon Thani,Ban Dung,2017,0.242840106
23,NE,Udon Thani,Ban Dung,2018,0.279353518
23,NE,Udon Thani,Ban Dung,2019,0.293250096
23,NE,Udon Thani,Ban Dung,2020,0.351754331
23,NE,Udon Thani,Ban Dung,2021,0.379034941
15,NE,Khon Kaen,Ban Fang,2014,0.359025472
15,NE,Khon Kaen,Ban Fang,2015,0.468411544
15,NE,Khon Kaen,Ban Fang,2016,0.447076485
15,NE,Khon Kaen,Ban Fang,2017,0.540484348
15,NE,Khon Kaen,Ban Fang,2018,0.583832862
15,NE,Khon Kaen,Ban Fang,2019,0.602314443
15,NE,Khon Kaen,Ban Fang,2020,0.689797811
15,NE,Khon Kaen,Ban Fang,2021,0.735580134
28,NO,Lamphun,Ban Hong,2014,0.250741444
28,NO,Lamphun,Ban Hong,2015,0.338607341
28,NO,Lamphun,Ban Hong,2016,0.345790257
28,NO,Lamphun,Ban Hong,2017,0.442280237
28,NO,Lamphun,Ban Hong,2018,0.444023478
28,NO,Lamphun,Ban Hong,2019,0.452943223
28,NO,Lamphun,Ban Hong,2020,0.491159376
28,NO,Lamphun,Ban Hong,2021,0.535675704
51,EA,Rayong,Ban Khai,2014,2.001044594
51,EA,Rayong,Ban Khai,2015,2.224838941
51,EA,Rayong,Ban Khai,2016,2.261238084
51,EA,Rayong,Ban Khai,2017,2.413923995
51,EA,Rayong,Ban Khai,2018,2.714354621
51,EA,Rayong,Ban Khai,2019,2.811780213
51,EA,Rayong,Ban Khai,2020,3.105864355
51,EA,Rayong,Ban Khai,2021,3.769306361
34,NO,Uttaradit,Ban Khok,2014,0.029928243
34,NO,Uttaradit,Ban Khok,2015,0.029134797
34,NO,Uttaradit,Ban Khok,2016,0.036187945
34,NO,Uttaradit,Ban Khok,2017,0.060731497
34,NO,Uttaradit,Ban Khok,2018,0.065303433
34,NO,Uttaradit,Ban Khok,2019,0.0747531
34,NO,Uttaradit,Ban Khok,2020,0.073041879
34,NO,Uttaradit,Ban Khok,2021,0.081995593
9,NE,Chaiyaphum,Ban Khwao,2014,0.176188448
9,NE,Chaiyaphum,Ban Khwao,2015,0.206358363
9,NE,Chaiyaphum,Ban Khwao,2016,0.203278947
9,NE,Chaiyaphum,Ban Khwao,2017,0.267466453
9,NE,Chaiyaphum,Ban Khwao,2018,0.310000255
9,NE,Chaiyaphum,Ban Khwao,2019,0.329475589
9,NE,Chaiyaphum,Ban Khwao,2020,0.368752703
9,NE,Chaiyaphum,Ban Khwao,2021,0.399522336
35,NE,Buri Ram,Ban Kruat,2014,0.115669771
35,NE,Buri Ram,Ban Kruat,2015,0.126390606
35,NE,Buri Ram,Ban Kruat,2016,0.137996031
35,NE,Buri Ram,Ban Kruat,2017,0.219148557
35,NE,Buri Ram,Ban Kruat,2018,0.220207556
35,NE,Buri Ram,Ban Kruat,2019,0.24916415
35,NE,Buri Ram,Ban Kruat,2020,0.276493167
35,NE,Buri Ram,Ban Kruat,2021,0.355306669
8,WE,Phetchaburi,Ban Laem,2014,2.072904102
8,WE,Phetchaburi,Ban Laem,2015,2.318472117
8,WE,Phetchaburi,Ban Laem,2016,2.265757705
8,WE,Phetchaburi,Ban Laem,2017,2.373049068
8,WE,Phetchaburi,Ban Laem,2018,2.590912516
8,WE,Phetchaburi,Ban Laem,2019,2.53933166
8,WE,Phetchaburi,Ban Laem,2020,2.854519406
8,WE,Phetchaburi,Ban Laem,2021,2.884535007
8,WE,Phetchaburi,Ban Lat,2014,1.504875552
8,WE,Phetchaburi,Ban Lat,2015,1.741020587
8,WE,Phetchaburi,Ban Lat,2016,1.92058424
8,WE,Phetchaburi,Ban Lat,2017,2.087422961
8,WE,Phetchaburi,Ban Lat,2018,2.171040556
8,WE,Phetchaburi,Ban Lat,2019,2.254633992
8,WE,Phetchaburi,Ban Lat,2020,2.325207867
8,WE,Phetchaburi,Ban Lat,2021,2.387357664
6,NE,Nakhon Ratchasima,Ban Luam,2014,0.096209576
6,NE,Nakhon Ratchasima,Ban Luam,2015,0.109618109
6,NE,Nakhon Ratchasima,Ban Luam,2016,0.121355122
6,NE,Nakhon Ratchasima,Ban Luam,2017,0.173141634
6,NE,Nakhon Ratchasima,Ban Luam,2018,0.187129001
6,NE,Nakhon Ratchasima,Ban Luam,2019,0.195993532
6,NE,Nakhon Ratchasima,Ban Luam,2020,0.205492366
6,NE,Nakhon Ratchasima,Ban Luam,2021,0.20928519
70,NO,Nan,Ban Luang,2014,0.043445744
70,NO,Nan,Ban Luang,2015,0.048219782
70,NO,Nan,Ban Luang,2016,0.035420905
70,NO,Nan,Ban Luang,2017,0.050190907
70,NO,Nan,Ban Luang,2018,0.05209541
70,NO,Nan,Ban Luang,2019,0.051903307
70,NO,Nan,Ban Luang,2020,0.06013829
70,NO,Nan,Ban Luang,2021,0.066281575
35,NE,Buri Ram,Ban Mai Chai Pho,2014,0.243096073
35,NE,Buri Ram,Ban Mai Chai Pho,2015,0.273639723
35,NE,Buri Ram,Ban Mai Chai Pho,2016,0.241214161
35,NE,Buri Ram,Ban Mai Chai Pho,2017,0.353985889
35,NE,Buri Ram,Ban Mai Chai Pho,2018,0.33167281
35,NE,Buri Ram,Ban Mai Chai Pho,2019,0.396003735
35,NE,Buri Ram,Ban Mai Chai Pho,2020,0.789906609
35,NE,Buri Ram,Ban Mai Chai Pho,2021,0.869967974
62,CE,Lop Buri,Ban Mi,2014,0.308206084
62,CE,Lop Buri,Ban Mi,2015,0.364025026
62,CE,Lop Buri,Ban Mi,2016,0.354397942
62,CE,Lop Buri,Ban Mi,2017,0.497489499
62,CE,Lop Buri,Ban Mi,2018,0.470507573
62,CE,Lop Buri,Ban Mi,2019,0.484118834
62,CE,Lop Buri,Ban Mi,2020,0.560269454
62,CE,Lop Buri,Ban Mi,2021,0.590407775
17,CE,Saraburi,Ban Mo,2014,2.491260835
17,CE,Saraburi,Ban Mo,2015,2.562058698
17,CE,Saraburi,Ban Mo,2016,2.594497927
17,CE,Saraburi,Ban Mo,2017,2.797649692
17,CE,Saraburi,Ban Mo,2018,2.836214821
17,CE,Saraburi,Ban Mo,2019,2.987028819
17,CE,Saraburi,Ban Mo,2020,3.101428087
17,CE,Saraburi,Ban Mo,2021,3.226739495
24,NE,Sakon Nakhon,Ban Muang,2014,0.063282876
24,NE,Sakon Nakhon,Ban Muang,2015,0.073458243
24,NE,Sakon Nakhon,Ban Muang,2016,0.069087471
24,NE,Sakon Nakhon,Ban Muang,2017,0.140785889
24,NE,Sakon Nakhon,Ban Muang,2018,0.136396066
24,NE,Sakon Nakhon,Ban Muang,2019,0.138980293
24,NE,Sakon Nakhon,Ban Muang,2020,0.175965374
24,NE,Sakon Nakhon,Ban Muang,2021,0.2597181
60,EA,Nakhon Nayok,Ban Na,2014,0.918191992
60,EA,Nakhon Nayok,Ban Na,2015,1.067506319
60,EA,Nakhon Nayok,Ban Na,2016,1.15768119
60,EA,Nakhon Nayok,Ban Na,2017,1.463389836
60,EA,Nakhon Nayok,Ban Na,2018,1.528980057
60,EA,Nakhon Nayok,Ban Na,2019,1.611279125
60,EA,Nakhon Nayok,Ban Na,2020,1.701453895
