province_id,province,Type of Construction,2014,2015,2016,2017,2018,2019,2020,2021,2022
14,Bangkok,Engineering construction measured in length,747809,715103,5894,744657,930228,894181,775528,615605,775938
14,Bangkok,Fence / wall,83293,35760,640,49917,51337,45155,69845,47013,31809
14,Bangkok,Road,161572,130639,0,121185,173741,167330,114345,80502,157435
14,Bangkok,Bridge,11011,16322,0,13336,8055,16174,1538,2338,1100
14,Bangkok,Dam,14179,8210,0,8272,9810,68863,11891,8514,14975
14,Bangkok,Water drain,475564,522700,5254,551808,685850,596659,577909,477238,570571
14,Bangkok,Others,2190,1472,0,139,1435,0,0,0,48
14,Bangkok,Engineering construction measured in area,432745,457490,8593,420845,556263,292156,402406,229929,308156
14,Bangkok,Swimming pool,46483,14923,0,20247,22073,18744,13980,11167,8166
14,Bangkok,Petrol station (Oil/LPG/NGV),2895,7078,257,6053,17385,19878,12424,13634,7224
14,Bangkok,Harbour,474,,,0,37,1029,412,0,0
14,Bangkok,Sport ground,14739,35595,0,65399,27256,45952,22900,36918,5313
14,Bangkok,Car park,326479,336058,8336,281790,421585,184013,321942,128938,279392
14,Bangkok,Advertisting board,12796,10415,0,4906,34057,8908,4853,3978,2297
14,Bangkok,Phone Antenna,,,,,,3062,2695,1685,1225
14,Bangkok,Others,28879,53421,0,42450,33870,10570,23200,33609,4539
69,Samut Prakan,Engineering construction measured in length,226903,208325,97846,126168,156075,95185,162425,197670,222360
69,Samut Prakan,Fence / wall,19161,36141,8094,9570,23948,12059,18692,30814,26415
69,Samut Prakan,Road,7047,20666,4119,4452,7761,8588,13659,11186,9157
69,Samut Prakan,Bridge,4209,12157,6742,7675,16061,8157,6832,4691,10450
69,Samut Prakan,Dam,22062,6399,2916,7102,3197,3584,4849,2275,2645
69,Samut Prakan,Water drain,167667,132256,75900,96908,98670,62797,118331,148704,173693
69,Samut Prakan,Others,6757,706,75,461,6438,0,62,0,0
69,Samut Prakan,Engineering construction measured in area,186696,193474,124030,198816,176663,127959,188924,184571,255812
69,Samut Prakan,Swimming pool,4146,6614,3926,6454,6135,6653,6636,3303,13293
69,Samut Prakan,Petrol station (Oil/LPG/NGV),2278,2801,0,11038,14173,5014,22965,3010,2815
69,Samut Prakan,Harbour,598,5835,0,0,173,1056,187,0,0
69,Samut Prakan,Sport ground,,5483,4190,4961,10798,2867,1052,16785,9044
69,Samut Prakan,Car park,149076,129941,94134,148479,138833,94483,128758,114345,129356
69,Samut Prakan,Advertisting board,3547,2551,3491,3738,3478,1614,2509,1323,3077
69,Samut Prakan,Phone Antenna,,,,,,1780,975,959,1104
69,Samut Prakan,Others,27051,40249,18289,24146,3073,14492,25842,44846,97123
38,Nonthaburi,Engineering construction measured in length,110129,164553,82205,147932,192376,238304,112155,144187,241592
